,0,Gene ID
ENSG00000124493,0.000275028,
ENSG00000182162,0.000274521,
ENSG00000184571,0.000273932,
ENSG00000168314,0.000273727,
ENSG00000272089,0.000273032,
ENSG00000188779,0.000273022,
ENSG00000233828,0.000273004,
ENSG00000254692,0.000272634,
ENSG00000268946,0.000272561,
ENSG00000236227,0.000272527,
ENSG00000229164,0.000272292,
ENSG00000215405,0.000271349,
ENSG00000014914,0.000271257,
ENSG00000145388,0.000271257,
ENSG00000168754,0.000271083,
ENSG00000137573,0.000270991,
ENSG00000124214,0.000270953,
ENSG00000100300,0.000270884,
ENSG00000177954,0.000270852,
ENSG00000182307,0.000270289,
ENSG00000136943,0.000269985,
ENSG00000247596,0.00026986,
ENSG00000184731,0.000269854,
ENSG00000268668,0.00026983,
ENSG00000151500,0.000269708,
ENSG00000185875,0.000269708,
ENSG00000206053,0.000269309,
ENSG00000042781,0.000269276,
ENSG00000174007,0.000269018,
ENSG00000116661,0.000268726,
ENSG00000134532,0.000268675,
ENSG00000151806,0.000268511,
ENSG00000261819,0.000268435,
ENSG00000072849,0.000268366,
ENSG00000169902,0.000268219,
ENSG00000261493,0.000268203,
ENSG00000204469,0.000268122,
ENSG00000255010,0.000267725,
ENSG00000181381,0.000267449,
ENSG00000185130,0.000267302,
ENSG00000262435,0.000266772,
ENSG00000042753,0.000266751,
ENSG00000120594,0.000266508,
ENSG00000196664,0.000266448,
ENSG00000075239,0.000266219,
ENSG00000151881,0.000266211,
ENSG00000214595,0.000266211,
ENSG00000236063,0.000265799,
ENSG00000213965,0.000265725,
ENSG00000064666,0.000265313,
ENSG00000272680,0.000265292,
ENSG00000144959,0.000265144,
ENSG00000196505,0.00026467,
ENSG00000121904,0.000264616,
ENSG00000186815,0.00026461,
ENSG00000137713,0.000264343,
ENSG00000171222,0.000264039,
ENSG00000104341,0.000264004,
ENSG00000139239,0.000263964,
ENSG00000162843,0.00026385,
ENSG00000184702,0.000263673,
ENSG00000084674,0.000263349,
ENSG00000265277,0.000263145,
ENSG00000175575,0.000263092,
ENSG00000237724,0.000262664,
ENSG00000214688,0.000262474,
ENSG00000162688,0.000262469,
ENSG00000225720,0.000261896,
ENSG00000197859,0.000261884,
ENSG00000180938,0.000261884,
ENSG00000156920,0.000261872,
ENSG00000149262,0.000261594,
ENSG00000212916,0.000261572,
ENSG00000141232,0.000261467,
ENSG00000176046,0.000261032,
ENSG00000146221,0.000260847,
ENSG00000171202,0.000260403,
ENSG00000070718,0.000259533,
ENSG00000189241,0.000259052,
ENSG00000174276,0.000258939,
ENSG00000148339,0.000258264,
ENSG00000145335,0.000258264,
ENSG00000240487,0.00025824,
ENSG00000256673,0.000257896,
ENSG00000145113,0.000257896,
ENSG00000261919,0.000257537,
ENSG00000168461,0.00025751,
ENSG00000130383,0.000257414,
ENSG00000100918,0.000257165,
ENSG00000131437,0.000256976,
ENSG00000142530,0.00025694,
ENSG00000113389,0.000256919,
ENSG00000158816,0.000256879,
ENSG00000187033,0.000256793,
ENSG00000105879,0.000256676,
ENSG00000235712,0.000256642,
